"name","obesityRate","pop2020"
"Laos","5.3000","7275.5600"
"Sri Lanka","5.2000","21413.2490"
"Eritrea",5,"3546.4210"
"South Korea","4.7000","51269.1850"
"Ethiopia","4.5000","114963.5880"
"Japan","4.3000","126476.4610"
"Nepal","4.1000","29136.8080"
"India","3.9000","1380004.3850"
"Cambodia","3.9000","16718.9650"
"Bangladesh","3.6000","164689.3830"
"Vietnam","2.1000","97338.5790"
